rank,uid,username,type
1,2021236,谷清谪仙,提督
2,681496,沙粒之辰光,提督
3,530596,IllIIllIlIlllIIl,提督
4,18736993,不关米米的事哟,提督
5,66621878,靈音はなこ,提督
6,3546589241019107,米汀家的月饼晴朗,提督
7,18138827,vvannie,提督
8,27727,壊れた幻想,提督
9,26531557,安娜斯塔斯娅,提督
10,33673954,serika-onoe_,提督
11,21941693,佐布,提督
12,3501990,-茶树米-,提督
13,6830657,-月见小亦-,提督
14,2599251,Devi_Lito,提督
15,44749112,bili8721472488,提督
16,499032978,Porco-www,舰长
17,202329,若雪,舰长
18,3546623420402419,薰纸,舰长
19,81210807,一缕清风随风逝,舰长
20,13475303,米汀的小笼包,舰长
21,6580838,兰卡从小就是黑汀生,舰长
22,6606769,Akananae,舰长
23,3072586,满杯香柚,舰长
24,12422769,Beartooth90,舰长
25,17558893,十文字-疾风,舰长
26,3494351019707331,麺包パン,舰长
27,241942616,ワルター,舰长
28,628996143,冥王星网友不在线,舰长
29,122119323,魔兽小不点,舰长
30,3546588643330241,米汀家的刻刻帝,舰长
31,1690861,莉泽萝忒KreuzLampe,舰长
32,2971220,ユメうつつ,舰长
33,171791040,-エクシア-,舰长
34,237845732,gigigigibeibei,舰长
35,15845,春日花抄_,舰长
36,436127433,米汀Nagisa家门外的夜灯,舰长
37,182148534,-梣桸-,舰长
38,6969680,周新宇,舰长
39,882255,叫我丶呵呵,舰长
40,5795051,工具人leyo,舰长
41,7037193,bluepudding,舰长
42,19483208,Eternalの零,舰长
43,53491674,旁汀生毕业无期,舰长
44,4484146,纪伯伦_睡眠不足,舰长
45,11283433,業風,舰长
46,3145632,奶茶泡澡の卡宾枪-,舰长
47,38028809,青草蛋糕-_-,舰长
48,13203122,小狮子的大猫,舰长
49,29147008,摸摸摸_Mona,舰长
50,227618,Vaserkia,舰长
51,7180032,无为無為,舰长
52,7719771,遊ぼうよ,舰长
53,19304547,3ffgg,舰长
54,1437606,元妙归尘,舰长
55,3493076572047792,主播大笨蛋,舰长
56,487741335,时雨遥425342,舰长
57,71537139,黑貓丿,舰长
58,1977481159,落烨了吗,舰长
59,11795901,超级巨大鸡蛋灌饼,舰长
60,20755725,夏卓风,舰长
61,2234700,对称破缺喵,舰长
62,160898966,晴爱Urara,舰长
63,482663558,淬羽xl,舰长
64,137380440,无话可嗦OvO,舰长
65,5933816,是蔡叔叔呀,舰长
66,11074373,auviuo,舰长
67,175265,雨宮夕歌,舰长
68,2097870821,白天LightSky,舰长
69,85590833,无理数mio,舰长
70,29299015,网友阿金,舰长
71,25593802,同调群单推人,舰长
72,696713,Rikkuo_,舰长
73,5317908,Rayqua,舰长
74,14860339,超高校級貓耳响,舰长
75,146637883,出逃星星抱枕,舰长
76,1698435,吕同学_リッキー,舰长
77,1878939,破破破破破cd,舰长
78,520806,真绯瑠的大薯,舰长
79,434915,星月凛,舰长
80,168221583,还是叫我大瑞吧,舰长
81,11188246,とある可愛の伊莎贝拉,舰长
82,20877518,河蟹君血型O,舰长
83,678806781,墨笔白图,舰长
84,9127166,Kokoa9,舰长
85,242072164,危在旦夕c,舰长
86,14719304,违规昵称_Rui,舰长
87,2321336,Code_Time,舰长
88,1902528,卡特斯瓦特,舰长
89,681653,闪光罗伊,舰长
90,248505849,布鲁诺一直吃药,舰长
91,253468031,剁椒鲨鱼头_,舰长
92,14153130,黄桃罐头冰,舰长
93,87618298,步信崇明,舰长
94,494678,Pandatorパンダト,舰长
