rank,uid,username,type
1,66621878,霊音はなこ,提督
2,13475303,米汀的小笼包,提督
3,3546589241019107,米汀家的月饼晴朗,提督
4,26531557,安娜斯塔斯婭,提督
5,10788384,soulのtouch,提督
6,38739372,_渚风,提督
7,530596,bili_530596,提督
8,1272304314,露染zzz,提督
9,351531386,invins-,提督
10,628996143,オフライン,提督
11,6969680,周新宇,提督
12,2396905,闌珊凨雨,提督
13,1845506,卡恰__,提督
14,1979338810,LionPoii,提督
15,25942909,鸦天狗狗文,提督
16,360569,米汀家的夜阑梦雪,提督
17,3493120266209851,喵嗚嘎嗚嘰哩咕嚕噠噠,提督
18,4563491,代步车01,舰长
19,202329,若雪,舰长
20,7180032,无为無為,舰长
21,14153130,情緒依存,舰长
22,6606769,Akananae,舰长
23,81210807,一缕清风随风逝,舰长
24,3546623420402419,薰_薰_纸nya,舰长
25,499032978,Porco-www,舰长
26,6580838,兰卡兰卡兰兰的卡,舰长
27,87618298,步信崇明,舰长
28,13135276,顾萌Komoe,舰长
29,6830657,-月见小亦-,舰长
30,494678,Pandator,舰长
31,366450460,自然立法者,舰长
32,11283433,業風,舰长
33,182148534,-梣桸-,舰长
34,11795901,攀兔毛者,舰长
35,85590833,无理数mio,舰长
36,1878939,破破破破破cd,舰长
37,25593802,同调群单推人,舰长
38,17558893,十文字-疾风,舰长
39,71537139,゙黑貓,舰长
40,5630092,米汀家的良生,舰长
41,1977481159,落烨了吗,舰长
42,5667363,关心坐骨神经疼,舰长
43,35520443,不二楠,舰长
44,15845,春日花抄_,舰长
45,5317908,Rayqua,舰长
46,5960988,精准表达与好好接话,舰长
47,241942616,ワルター,舰长
48,7405415,夜の_,舰长
49,3494368814041805,傀诺equinox,舰长
50,2971220,ユメうつつ,舰长
51,882255,叫我丶呵呵,舰长
52,229087540,櫻花閃閃,舰长
53,3493084472019038,薄荷糖8辣,舰长
54,2097870821,白天LightSky,舰长
55,8969216,苏趴米帕,舰长
56,1698435,吕同学_リッキー,舰长
57,19884007,南风入弦丶l,舰长
58,137380440,无话可嗦OvO,舰长
59,4345986,丢失的风儿,舰长
60,556570,Shiro_Yaya,舰长
61,4897,宫古芳香,舰长
62,5933816,是蔡叔叔呀,舰长
63,3494351019707331,仿生電子面包,舰长
64,503,流河,舰长
65,2871839,淡定の立华奏,舰长
66,1488162122,Alexsib家的米垃圾,舰长
67,9127166,Kokoa9,舰长
68,506331,幻与樱,舰长
69,7037193,bluepudding,舰长
70,925,911,舰长
71,14860339,超高校級貓耳响,舰长
72,349880406,夜夢YuMe_ちゃん,舰长
73,1961645,名字真难取饿,舰长
74,12532750,薛定谔の波斯猫,舰长
75,266375,咕咕-咕咕咕咕咕-咕,舰长
76,370409298,幸运灰月,舰长
77,415469534,BroccoIi-,舰长
78,1477811,穗状星序,舰长
79,159019,九重雪会,舰长
80,773898,鲨鲨痛饮长岛冰茶,舰长
81,372661,宍戸若葉,舰长
82,453196,-kenjoy-,舰长
83,35610072,寒星Coldstar_QAQ,舰长
84,375800639,灯光汪,舰长
85,287809472,艦こわのcollection,舰长
86,10093973,某_君,舰长
87,102615,疯子orz,舰长
88,26284784,晨曦在海上,舰长
89,384739919,小奕ヤ,舰长
90,224656237,童话避难所,舰长
91,351192397,20644862174_bili,舰长
92,11790018,吃一口奶团,舰长
93,2268148,卡奥斯教授,舰长
94,12211712,鲁伯特之泪68,舰长
95,434915,星月凛,舰长
96,288769051,不存在于诞下我的世界,舰长
97,10261329,yukino-雪之下雪乃,舰长
98,210653,晴色,舰长
99,642499149,-烤毛怪-,舰长
100,13071607,风见见见子,舰长
101,12700680,Lappland--,舰长
102,536365,鸢尾百合,舰长
103,107200480,星空下的永恒誓言,舰长
104,9161100,鸟是一个词,舰长
105,1760794230,弥弥御用钢矛护理师,舰长
106,3493112341072661,子江心,舰长
107,513587729,Rainあめ,舰长
108,8931117,三色青羽,舰长
109,2251909,王一川卅,舰长
110,24816063,-縶給闦蘉鸀鱍鞝繝礃-,舰长
111,14378626,昼星轨,舰长
112,6771127,英桑ww,舰长
113,7474766,宴泽feastum,舰长
114,11554146,伴舞者纠结,舰长
115,364733884,-修修补补-,舰长
116,3546570272278940,悲伤的风子,舰长
117,1565147,orion_0v0,舰长
118,12276598,_雨晴__,舰长
119,71606673,芝士贝贝鲨,舰长
120,353652,saber2000,舰长
121,179002250,墨中烛,舰长
122,11752537,_希灵_,舰长
123,12314,王小明,舰长
124,179471776,AhanAnan4n,舰长
125,323209,曉級2號艦信賴,舰长
126,26536763,めちゃくちゃ炒飯,舰长
127,31285711,最后的贺卡,舰长
128,165723722,风烟寥,舰长
129,3311160,Ferula--,舰长
130,3662200,无火之烬,舰长
131,105402,清新正直HHP,舰长
132,1873153589,淩汀,舰长
133,3546761429781280,Saner___,舰长
134,91214489,幻梦景,舰长
135,9426479,僧侶ケルベロス,舰长
136,21424019,Longlyfree,舰长
137,7257467,PlutoniumLink,舰长
138,32439815,纸鸢栀年-_,舰长
139,610825377,菜需捆这一块,舰长
140,6595716,九重阳炎,舰长
141,168221583,嗜睡黑猫9,舰长
142,326024266,原之之,舰长
143,85213240,阴暗小电视,舰长
144,1477096618,飞啰啰,舰长
145,2648843,小寂语,舰长
146,3835876,East_Eden,舰长
147,228879,嘁里咔嚓剑,舰长
148,3546602375482057,颜枫_,舰长
149,157174,阿露菲米__,舰长
150,191789,アマイアヤ,舰长
151,2723527,斜月沉沉丶,舰长
152,280146238,超音速全向射流,舰长
153,1902528,卡特斯瓦特,舰长
154,12769903,漓梦い清玥,舰长
155,282198,高雅艺术中心,舰长
156,1488688,CraftV,舰长
157,502408537,言念其宸,舰长
158,9271007,我玩腻了-,舰长
159,31271170,一般路过v友,舰长
160,66903277,汐流流流,舰长
161,3546973235841820,雾涟trois,舰长
162,8722647,独家叉烧锅包肉可外送,舰长
163,482364877,今日塔罗,舰长
164,21542247,driver_gu,舰长
165,1673559,KorokkeSUI-3-,舰长
166,626540125,午间lzumi,舰长
167,212285,CTofthereiGN,舰长
168,3546642393335905,蟹师傅MasterCrab,舰长
169,3546625240729848,霁明月之梦,舰长
170,61639371,轴伊Joi_Channel,舰长
171,3989554,名利场,舰长
172,1740704,NFの皮卡,舰长
173,349198785,刻刻帝路过,舰长
174,9354845,KinguKurimuzon,舰长
175,1280858792,夜雨空鸣,舰长
176,776739,茶鲸Teawhale,舰长
177,411346229,哭哭的白菜子,舰长
178,6539125,雛月しの,舰长
179,14121344,莫箜Momkon,舰长
180,1268819,龙茶茶_,舰长
181,68400312,小小冰fight,舰长
182,88984,重音teto,舰长
183,1705913,時尚_Dokinao,舰长
184,7994124,大颗米波,舰长
185,635930299,月伶枫晓,舰长
186,601708386,鸟先知,舰长
187,447872632,WhiteCube_,舰长
188,5709088,・-・,舰长
189,13101780,一般通过-,舰长
190,545382,水銀貓,舰长
191,1508440,奶龙MilkD,舰长
192,3512397,Yamato丶Yamada,舰长
193,269109657,次の舞台へ,舰长
194,522195557,羽落白山茶,舰长
195,344248957,睦卡咖啡,舰长
196,290515671,是命定之死的盒子呀,舰长
197,33156347,榷良,舰长
198,39855696,就我没醒,舰长
199,2890750,muegleis,舰长
200,3546615587539051,雨宿りの,舰长
201,8540039,邪道人,舰长
202,157738955,菲利克斯普拉特,舰长
203,324302,合金乌贼,舰长
204,639638031,白朝琛Zumoki,舰长
205,3493281644153605,Cantor___,舰长
206,323728572,每秒单推一个,舰长
207,3210821,夏临夏,舰长
208,239858054,玖柒-__-,舰长
209,21268509,Ikari_Shinji_99,舰长
210,29953,baka,舰长
211,446761374,北冥无鱼也无鲲,舰长
212,3493084279081077,我想睡一百万年,舰长
213,524926595,牛头人爱好者,舰长
214,259348,CHR_OFFICIAL,舰长
215,292143768,布伦希尔德鸟笼骑士,舰长
216,336198406,凌徊levy,舰长
217,2503968,小姜饼不加糖,舰长
218,356153968,了卡,舰长
219,3546824772159761,米汀的薄荷糖,舰长
220,3632310503082196,o肯o肯,舰长
