rank,uid,username,type
1,66621878,靈音はなこ,提督
2,26531557,安娜斯塔西婭,提督
3,18736993,不关米米的事哟,提督
4,10788384,soulのtouch,提督
5,81210807,一缕清风随风逝,提督
6,6969680,周新宇,提督
7,13475303,米汀的小笼包,提督
8,628996143,オフライン,提督
9,1845506,卡恰__,提督
10,1272304314,露染zzz,提督
11,494678,Pandator,提督
12,1979338810,LionPoii,提督
13,3546589241019107,米汀家的月饼晴朗,舰长
14,530596,bili_530596,舰长
15,202329,若雪,舰长
16,3546588643330241,时逝丶云烟散,舰长
17,6606769,Akananae,舰长
18,7180032,无为無為,舰长
19,3546623420402419,薰_薰_纸nya,舰长
20,499032978,Porco-www,舰长
21,6580838,兰卡从小就是黑汀生,舰长
22,13135276,顾萌Komoe,舰长
23,14153130,黄桃罐头冰,舰长
24,6830657,-月见小亦-,舰长
25,182148534,-梣桸-,舰长
26,11795901,Slofi,舰长
27,3501990,-小良与兔-,舰长
28,11283433,業風,舰长
29,85590833,无理数mio,舰长
30,1878939,破破破破破cd,舰长
31,17558893,十文字-疾风,舰长
32,87618298,步信崇明,舰长
33,2234700,对称破缺喵,舰长
34,5317908,Rayqua,舰长
35,882255,叫我丶呵呵,舰长
36,71537139,゙黑貓,舰长
37,1977481159,落烨了吗,舰长
38,241942616,ワルター,舰长
39,2971220,ユメうつつ,舰长
40,5630092,奈落良生汀米中,舰长
41,366450460,自然立法者,舰长
42,7405415,夜の_,舰长
43,5667363,关心坐骨神经疼,舰长
44,25593802,同调群单推人,舰长
45,5960988,通情达理与得寸进尺,舰长
46,20877518,河蟹君血型O,舰长
47,2097870821,白天LightSky,舰长
48,23073334,随喵のGRosmarinus,舰长
49,1698435,吕同学_リッキー,舰长
50,35520443,不二楠,舰长
51,137380440,无话可嗦OvO,舰长
52,8969216,苏啪米帕,舰长
53,7037193,bluepudding,舰长
54,14860339,超高校級貓耳响,舰长
55,2871839,淡定の立华奏,舰长
56,1961645,名字真难取饿,舰长
57,475770372,逸雨sakana,舰长
58,9127166,Kokoa9,舰长
59,102615,疯子orz,舰长
60,13301973,空调房里裹棉被,舰长
61,1488162122,Alexsib家的米垃圾,舰长
62,3493120266209851,喵呜嗷呜叽里咕噜哒哒,舰长
63,12532750,薛定谔の波斯猫,舰长
64,506331,幻与樱,舰长
65,13118657,dv341,舰长
66,940915,Polar Bears,舰长
67,10093973,某_君,舰长
68,1477811,穗状星序,舰长
69,12211712,鲁伯特之泪68,舰长
70,351192397,20644862174_bili,舰长
71,6490851,疾星走,舰长
72,3537121268730123,Prescr1ption,舰长
73,925,911,舰长
74,453196,-kenjoy-,舰长
75,35610072,寒星Coldstar_QAQ,舰长
76,224656237,童话避难所,舰长
77,1760794230,弥弥御用钢矛护理师,舰长
78,536365,鸢尾百合,舰长
79,287809472,艦こわのcollection,舰长
80,2396905,闌珊凨雨,舰长
81,266375,咕咕-咕咕咕咕咕-咕,舰长
82,4345986,丢失的风儿,舰长
83,11554146,伴舞者纠结,舰长
84,3546856695007484,天河溯洄,舰长
85,11790018,吃一口奶团,舰长
86,3546781168176020,英雄未死之前_,舰长
87,159019,九重雪会,舰长
88,35068151,沙沙沙沙福林,舰长
89,25942909,鸦天狗-文,舰长
90,107200480,星空下的永恒誓言,舰长
91,1565147,orion_0v0,舰长
92,3311160,Ferula--,舰长
93,1594851899,BybYbyByb,舰长
94,3546761429781280,Saner___,舰长
95,21260332,nfixkslcfssa,舰长
96,349880406,是夜梦华章-呀,舰长
97,7257467,PlutoniumLink,舰长
98,179471776,AhanAnan4n,舰长
99,6771127,英桑ww,舰长
100,281923061,抑鬱的大便,舰长
101,165723722,风烟寥,舰长
102,3409264,哇叉兔濑,舰长
103,6595716,九重阳炎,舰长
104,4404726,No·Game·No·Life,舰长
105,31285711,最后的贺卡,舰长
106,9426479,花礼黑粉ケルベロス,舰长
107,360569,夜阑梦雪,舰长
108,3211235,拉维欧-,舰长
109,21143292,木屋松饼,舰长
110,2450646,CYSoulDown,舰长
111,51408191,W1Z__,舰长
112,9271007,我玩腻了-,舰长
113,288769051,不存在于诞下我的世界,舰长
114,27341319,加库伯,舰长
115,2955509,Iro4s,舰长
116,33081468,breaaak,舰长
117,339802653,小碗棉花糖,舰长
118,482364877,今日塔罗,舰长
119,9082125,麻仓真央酱,舰长
120,54241,EnglishNoGood,舰长
