rank,uid,username,type
1,3546606169229555,原罪之迪亚贝尔西,总督
2,2021236,谷清谪仙,提督
3,499032978,Porco-www,提督
4,681496,沙粒之辰光,提督
5,530596,IllIIllIlIlllIIl,提督
6,3546589241019107,米汀家的月饼晴朗,提督
7,66621878,靈音はなこ,提督
8,27727,壊れた幻想,提督
9,26531557,安娜斯塔斯娅,提督
10,33673954,serika-onoe_,提督
11,18138827,vvannie,提督
12,3501990,-茶树米-,提督
13,21941693,佐布,提督
14,202329,若雪,提督
15,13475303,米汀的小笼包,提督
16,6580838,兰卡从小就是黑汀生,提督
17,3072586,满杯香柚,提督
18,17558893,十文字-疾风,提督
19,18736993,不关米米的事哟,提督
20,436127433,米汀Nagisa家门外的夜灯,提督
21,2971220,ユメうつつ,提督
22,2599251,Devi_Lito,提督
23,182148534,-梣桸-,提督
24,882255,叫我丶呵呵,提督
25,6969680,周新宇,提督
26,81210807,一缕清风随风逝,舰长
27,6606769,Akananae,舰长
28,12422769,Beartooth90,舰长
29,3494351019707331,麺包パン,舰长
30,6830657,-月见小亦-,舰长
31,241942616,ワルター,舰长
32,122119323,魔兽小不点,舰长
33,3546623420402419,薰纸,舰长
34,628996143,冥王星网友不在线,舰长
35,1690861,莉泽萝忒KreuzLampe,舰长
36,171791040,-エクシア-,舰长
37,237845732,gigigigibeibei,舰长
38,3546588643330241,米汀家的刻刻帝,舰长
39,5795051,工具人leyo,舰长
40,7037193,bluepudding,舰长
41,15845,春日花抄_,舰长
42,19483208,Eternalの零,舰长
43,12501775,コンプランド,舰长
44,6200106,-单防伊瑟拉-,舰长
45,11283433,業風,舰长
46,3546588328757848,--sakula--,舰长
47,29147008,摸摸摸mona,舰长
48,269508093,夏夜夜酌,舰长
49,13203122,小狮子的大猫,舰长
50,53491674,旁汀生毕业无期,舰长
51,4484146,纪伯伦_睡眠不足,舰长
52,3145632,奶茶泡澡の卡宾枪-,舰长
53,1857231500,hd3810,舰长
54,19304547,3ffgg,舰长
55,4117787,小呜的spe老婆,舰长
56,227618,Vaserkia,舰长
57,38028809,青草蛋糕-_-,舰长
58,7719771,遊ぼうよ,舰长
59,71537139,黑貓丿,舰长
60,3493076572047792,主播大笨蛋,舰长
61,160898966,晴爱Urara,舰长
62,487741335,时雨遥425342,舰长
63,2234700,对称破缺喵,舰长
64,7180032,无为無為,舰长
65,372661,宍戸若葉,舰长
66,20755725,夏卓风,舰长
67,9442,冰海风雨,舰长
68,28588187,夏色正道,舰长
69,1437606,元妙归尘,舰长
70,408293786,朱顔辞鏡花辞澍,舰长
71,1977481159,落烨了吗,舰长
72,11795901,Heibtrocknung,舰长
73,370409298,幸运米业,舰长
74,482663558,淬羽xl,舰长
75,175265,雨宮夕歌,舰长
76,85590833,无理数mio,舰长
77,5933816,是蔡叔叔呀,舰长
78,2097870821,白天LightSky,舰长
79,14860339,超高校級貓耳响,舰长
80,8378757,嘴香精灵北极熊,舰长
81,1698435,吕同学_リッキー,舰长
82,29299015,黯影シャドウ,舰长
83,25593802,同调群单推人,舰长
84,11074373,auviuo,舰长
85,1878939,破破破破破cd,舰长
86,168221583,还是叫我大瑞吧,舰长
87,269434823,海星松鼠非常好吃,舰长
88,5335166,耶和离,舰长
89,696713,Rikkuo_,舰长
90,146637883,出逃星星抱枕,舰长
91,14719304,违规昵称_0be,舰长
92,520806,真绯瑠的大薯,舰长
93,681653,闪光罗伊,舰长
94,137380440,无话可嗦OvO,舰长
95,253468031,剁椒鲨鱼头_,舰长
96,4578292,出包西殴栗,舰长
97,20877518,河蟹君血型O,舰长
98,5317908,Rayqua,舰长
99,12403805,_Yula_,舰长
100,434915,星月凛,舰长
101,7405415,夜の_,舰长
102,87618298,步信崇明,舰长
103,102717608,cmcnmua,舰长
104,8205473,-墨绾泠晴_RinaGachi-,舰长
105,11188246,とある可愛の伊莎贝拉,舰长
106,678806781,墨笔白图,舰长
107,2145711117,云意俱迟,舰长
108,2024205879,米汀家的kario,舰长
109,251054796,4ヌ犬薺,舰长
110,2321336,Code_Time,舰长
111,242072164,危在旦夕c,舰长
112,14115453,時月-_,舰长
113,9127166,Kokoa9,舰长
114,35676933,星叶Iris,舰长
115,3546599416400471,aizaki-momo_,舰长
116,671177448,侑利普贝当,舰长
117,45649674,Leon希希,舰长
118,248505849,布鲁诺一直吃药,舰长
119,20751559,是臻臻啊-,舰长
120,10478200,时逝丶云烟散,舰长
121,556570,Shiro_Yaya,舰长
122,14153130,黄桃罐头冰,舰长
123,309523,MrbigJ,舰长
124,118320708,童话镇镇镇之宝,舰长
125,172805618,佛罗伦萨的海洋,舰长
126,12532750,薛定谔の波斯猫,舰长
127,1447024848,饮料解构人生认知,舰长
128,13301973,空调房里裹棉被,舰长
129,5723075,陈玉礼,舰长
130,53699221,K1llerNEko-,舰长
131,484970836,超大杯芒果汁,舰长
132,399316398,百骑士皇蕾嘉蒂娅,舰长
133,38636696,Hiyori晓,舰长
134,383084364,Leibn1z_,舰长
135,280766,MizQre,舰长
136,2244620,明斯克的蔷薇,舰长
137,21951023,Lysein,舰长
138,1392897,小小de悲剧,舰长
139,10093973,某_君,舰长
140,57249810,桐人今天岁大觉,舰长
141,5630092,一般路过小良,舰长
142,773898,叁千夜雨不见君,舰长
143,33614239,一个管人痴且op的debu,舰长
144,3493120266209851,銀色潜水艦,舰长
145,506331,幻与樱,舰长
146,35128441,Kachou_Fuugetsu,舰长
147,23274552,shulker_cn,舰长
148,364733884,言秦Hades,舰长
149,348007175,LLLLLee__,舰长
150,447389799,别来找麻烦1,舰长
151,4338317,心铃,舰长
152,1978590132,帕可Pako,舰长
153,9003458,米神singsforever,舰长
154,184350827,嗡嗡嗡小鱼,舰长
155,275015718,Kuwaxi,舰长
156,107763062,丛雨从雨丛,舰长
157,70834304,松果林,舰长
158,166240699,_幻音sama_,舰长
159,9849637,西宮ひろ,舰长
160,8100405,伊鸽奏,舰长
161,494678,Pandatorパンダト,舰长
162,1721107,林安_ya,舰长
163,1477811,穗状星序,舰长
164,21472058,ニオ,舰长
165,677403401,かみうさぎ,舰长
166,4687502,笙omo,舰长
167,38979955,V_ineyes,舰长
168,35903667,叶赫H,舰长
169,34679749,笙歌雁语,舰长
170,1477096618,飞啰啰,舰长
171,14663752,Just_Hina,舰长
172,12981833,氽濴hana,舰长
173,12211712,鲁伯特之泪68,舰长
174,107057268,夜猫子咯,舰长
175,354601895,盏中萤火_,舰长
176,8880591,宮崎心鈴,舰长
177,1517434,后星残光,舰长
178,27184624,逍遥小鱿鱼,舰长
179,11213057,半龙女仆裂空座,舰长
180,12855633,高渠,舰长
181,212458030,人快emo了,舰长
182,7028542,彌奇飯師,舰长
183,13118657,dv341,舰长
184,384337,主播都说没有男朋友,舰长
185,2968699,baka就是baka,舰长
186,229087540,櫻花閃閃,舰长
187,29317699,泡芙诺娅,舰长
188,1613595688,风雨中的长途,舰长
189,396824977,yunxiu0c,舰长
190,2576190,黑天DarkSky,舰长
191,102469173,冰风飘羽,舰长
192,25740626,idkana,舰长
193,10788384,soulのtouch,舰长
194,496136059,山绒鼠鼠大王,舰长
195,22325233,Kikyou-_-,舰长
196,18498416,不如想想七点什么,舰长
197,401390615,欧酉面Oilmion,舰长
198,7631739,纸上魔法使夜子,舰长
199,5161635,-神秘学嗅盐-,舰长
200,3546570272278940,喜欢海星的风子,舰长
201,3537124018096211,KFC_Office,舰长
202,12196786,正常感bot,舰长
203,7474766,Festum飨宴,舰长
204,34616293,摸摸摸摸你傻,舰长
205,760383,冷蔵庫承太郎,舰长
206,675342784,夜茵Mura,舰长
207,61639371,轴伊Joi_Channel,舰长
208,488673293,呼啦啦小七海,舰长
209,453196,-kenjoy-,舰长
210,41164797,佐仓seki,舰长
211,398030853,aaszxy圆子,舰长
212,3445782,嵐笙,舰长
213,277743648,昀宝YunBy,舰长
214,23073334,GRosmarinus,舰长
215,180949104,花枫w,舰长
216,1760794230,弥弥御用钢矛护理师,舰长
217,169532651,该用户危险等级为,舰长
218,14273969,crcqqq,舰长
219,13135276,顾萌Komoe,舰长
220,12041551,死宅的中二少年,舰长
221,10499,22link,舰长
222,381873595,Dreaminglifetime,舰长
223,323209,曉級2號艦信賴,舰长
