rank,uid,username,type
1,499032978,Porco-www,提督
2,530596,IllIIllIlIlllIIl,提督
3,1690861,莉泽萝忒KreuzLampe,提督
4,3546589241019107,米汀家的月饼晴朗,提督
5,7071896,Modred_X,提督
6,5795051,工具人leyo,提督
7,19483208,Eternalの零,提督
8,6200106,-单防伊瑟拉-,提督
9,122119323,魔兽小不点,提督
10,681496,沙粒之辰光,舰长
11,171791040,-エクシア-,舰长
12,29147008,摸摸摸_Mona,舰长
13,241942616,ワルター,舰长
14,12422769,Beartooth90,舰长
15,26531557,安娜斯塔斯娅,舰长
16,6606769,Akananae,舰长
17,6830657,-月见小亦-,舰长
18,2021236,Black丶Caesar,舰长
19,3501990,-茶树米-,舰长
20,4117787,小呜的spe老婆,舰长
21,3546588643330241,米汀家的刻刻帝,舰长
22,237845732,gigigigibeibei,舰长
23,628996143,冥王星网友不在线,舰长
24,13475303,菜狗子zzz,舰长
25,1857231500,hd3810,舰长
26,5335166,耶和离,舰长
27,71537139,黑貓丿,舰长
28,27727,壊れた幻想,舰长
29,269434823,海星松鼠非常好吃,舰长
30,4048022,九链嗷非秀,舰长
31,66621878,靈音はなこ,舰长
32,6580838,兰卡从小就是黑汀生,舰长
33,3546588328757848,--sakula--,舰长
34,3493112341072661,子江心,舰长
35,1387677,桃酥Momo单推人,舰长
36,3494351019707331,麺包パン,舰长
37,33673954,serika-onoe_,舰长
38,359172675,我爱米汀Nagisa,舰长
39,372661,宍戸若葉,舰长
40,269508093,夏夜夜酌,舰长
41,3493076572047792,主播大笨蛋,舰长
42,14719304,啤酒花想喝生啤酒,舰长
43,13022542,白银夜夜yaya,舰长
44,13203122,小狮子的大猫,舰长
45,70573348,圆润的小肉肉,舰长
46,38025985,-filia-,舰长
47,202329,若雪,舰长
48,520806,真绯瑠的大薯,舰长
49,436127433,夜灯和米汀Nagisa贴贴,舰长
50,4578292,出包西欧粒,舰长
51,81210807,一缕清风随风逝,舰长
52,671177448,侑利普贝当,舰长
53,628323,玲_奈,舰长
54,11116521,伟大的厂长,舰长
55,8011747,笹木咲单推人,舰长
56,11283433,業風,舰长
57,678806781,墨笔白图,舰长
58,20755725,夏卓风,舰长
59,108010,Kickshaw,舰长
60,32690617,古道西风瘦3B,舰长
61,2024205879,米汀家的kario,舰长
62,28588187,夏色正道,舰长
63,35128441,月蝕尽絶黒阿修羅,舰长
64,253468031,剁椒鲨鱼头_,舰长
65,1845506,抱着大头的卡恰,舰长
66,11167,平安夜的噩梦,舰长
67,882255,叫我丶呵呵,舰长
68,2234700,对称破缺喵,舰长
69,1461149,Aleryaa,舰长
70,487741335,时雨遥425342,舰长
71,17558893,十文字-疾风,舰长
72,35418184,羽山麻水,舰长
73,434915,星月凛,舰长
74,5878738,魔法少女厄加特o,舰长
75,696713,-Rikkuo-,舰长
76,33178046,FizzzzQAQ,舰长
77,21941693,佐布,舰长
78,545831752,鼠鼠我的鼠鼠啊,舰长
79,9442,冰海风雨,舰长
80,8205473,-墨绾泠晴_RinaGachi-,舰长
81,27613272,达不溜嗳嗯伊,舰长
82,146637883,出逃星星抱枕,舰长
83,50736903,青空嵐,舰长
84,3546558282861538,纯良小公主,舰长
85,351256995,本命来福,舰长
86,15152020,-ぺるしあ-,舰长
87,251054796,ねばり_ねありー,舰长
88,12009950,地表最强VR信,舰长
